number of match	Team 1	Team 2	Match Date	Winner	Man of the Match	Highest Runs Scored	Highest Runs Value	Highest Wickets Scored		No. Highest Wickets Scored
1	LSG	RCB	4/15/26 18:59	RCB	Rajat Patidar	Virat Kohli	85	Mohammed Siraj		3
2	RR	LSG	5/19/26 18:59	RR	Hardik Pandya	Suryakumar Yadav	92	Jasprit Bumrah		4
3	RR	GT	05-09-2026 18:59	GT	Yashasvi Jaiswal	Sanju Samson	88	Yuzvendra Chahal		3
4	DC	KKR	05-08-2026 18:59	KKR	Rishabh Pant	Jake Fraser-McGurk	76	Kuldeep Yadav		3
5	CSK	KKR	4/14/26 18:59	CSK	Shubman Gill	Sai Sudharsan	90	Rashid Khan		4
6	MI	RCB	04-12-2026 18:59	RCB	Abhishek Sharma	Heinrich Klaasen	94	Pat Cummins		3
7	CSK	LSG	5/15/26 18:59	LSG	Vaibhav Sooryavanshi	Vaibhav Sooryavanshi	103	Trent Boult		4
8	SRH	DC	4/21/26 18:59	SRH	Shivam Dube	Ruturaj Gaikwad	84	Matheesha Pathirana		3
9	DC	MI	04-04-2026 15:00	DC	KL Rahul	KL Rahul	112	Ravi Bishnoi		3
10	GT	KKR	4/17/26 18:59	GT	Virat Kohli	Rajat Patidar	93	Yash Dayal		3
11	RR	SRH	4/25/26 18:59	SRH	Sanju Samson	Sanju Samson	101	Jofra Archer		3
12	RCB	DC	4/18/26 15:00	DC	Sunil Narine	Shreyas Iyer	86	Varun Chakaravarthy		no data
13	CSK	SRH	5/18/26 18:59	SRH	Sai Sudharsan	Shubman Gill	104	Kagiso Rabada		4
14	GT	KKR	5/16/26 18:59	KKR	Axar Patel	Tristan Stubbs	78	Kuldeep Yadav		3
15	RCB	MI	05-10-2026 18:59	RCB	Glenn Maxwell	Virat Kohli	105	Mohammed Siraj		3
16	CSK	SRH	4/18/26 18:59	SRH	Vaibhav Sooryavanshi	Heinrich Klaasen	91	Yuzvendra Chahal		3
17	MI	SRH	4/29/26 18:59	SRH	Suryakumar Yadav	Tilak Varma	101	Jasprit Bumrah		3
18	SRH	GT	05-12-2026 18:59	GT	Shreyas Iyer	Phil Salt	74	Sunil Narine		3
19	KKR	LSG	4/26/26 18:59	KKR	Rashid Khan	Nicholas Pooran	96	Rashid Khan		4
20	LSG	GT	04-12-2026 15:00	GT	Rajat Patidar	Faf du Plessis	82	Yash Dayal		3
21	RCB	GT	5/26/26 18:59	RCB	Ravindra Jadeja	Ruturaj Gaikwad	89	Matheesha Pathirana		3
22	CSK	GT	4/26/26 15:00	GT	Yashasvi Jaiswal	Sanju Samson	71	Trent Boult		3
23	SRH	RCB	3/28/26 18:59	RCB	Travis Head	Abhishek Sharma	135	T Natarajan		3
24	KKR	SRH	04-02-2026 18:59	SRH	Nicholas Pooran	KL Rahul	68	Ravi Bishnoi		3
25	MI	KKR	3/29/26 18:59	MI	Shivam Dube	Prabhsimran Singh	80	Matheesha Pathirana		3
26	SRH	RR	5/27/26 18:59	RR	Hardik Pandya	Suryakumar Yadav	98	Jasprit Bumrah		4
27	RR	LSG	5/19/26 18:59	LSG	Virat Kohli	Virat Kohli	90	Mohammed Siraj		3
28	GT	RR	5/29/26 18:59	GT	Heinrich Klaasen	Heinrich Klaasen	69	Pat Cummins		3
29	MI	CSK	05-02-2026 18:59	CSK	Shubman Gill	Sai Sudharsan	100	Kagiso Rabada		3
30	GT	CSK	5/21/26 18:59	GT	Rishabh Pant	Abishek Porel	83	Kuldeep Yadav		4
31	PBKS	LSG	4/19/26 18:59	PBKS	Vaibhav Sooryavanshi	Sanju Samson	77	Yuzvendra Chahal		3
32	RCB	KKR	5/13/26 18:59	RCB	Suryakumar Yadav	KL Rahul	152	Jasprit Bumrah		4
33	PBKS	SRH	04-11-2026 15:00	PBKS	Rajat Patidar	Virat Kohli	67	Yash Dayal		3
34	KKR	DC	5/24/26 18:59	DC	Kagiso Rabada	Shubman Gill	84	Kagiso Rabada		4
35	PBKS	RR	4/28/26 18:59	RR	Jake Fraser-McGurk	Rishabh Pant	73	Axar Patel		4
36	RR	RCB	04-10-2026 18:59	RR	Yashasvi Jaiswal	Prabhsimran Singh	62	Trent Boult		3
37	RCB	GT	5/31/26 18:59	RCB	Abhishek Sharma	Heinrich Klaasen	81	T Natarajan		3
38	DC	CSK	05-05-2026 18:59	CSK	Virat Kohli	Virat Kohli	75	Mohammed Siraj		3
39	LSG	PBKS	5/23/26 18:59	PBKS	Ruturaj Gaikwad	Shivam Dube	79	Matheesha Pathirana		3
40	MI	PBKS	4/16/26 18:59	PBKS	Sai Sudharsan	Shubman Gill	95	Rashid Khan		4
41	SRH	KKR	05-03-2026 15:00	KKR	Travis Head	Abhishek Sharma	93	Pat Cummins		3
42	KKR	LSG	04-09-2026 18:59	LSG	Vaibhav Sooryavanshi	Vaibhav Sooryavanshi	88	Yuzvendra Chahal		3
43	LSG	MI	05-04-2026 18:59	MI	Rajat Patidar	Virat Kohli	86	Mohammed Siraj		3
44	GT	RR	04-04-2026 19:09	RR	Sunil Narine	Shreyas Iyer	101	Varun Chakaravarthy		4
45	SRH	LSG	04-05-2026 15:00	LSG	Rishabh Pant	Jake Fraser-McGurk	91	Kuldeep Yadav		3
46	DC	CSK	04-11-2026 18:59	CSK	Kagiso Rabada	Sai Sudharsan	72	Kagiso Rabada		4
47	RCB	CSK	04-05-2026 18:59	RCB	Nicholas Pooran	KL Rahul	70	Ravi Bishnoi		3
48	SRH	RCB	5/22/26 18:59	SRH	Hardik Pandya	Suryakumar Yadav	92	Jasprit Bumrah		4
49	DC	PBKS	4/25/26 15:00	PBKS	Shubman Gill	Vaibhav Sooryavanshi	64	Rashid Khan		4
50	DC	RR	5/17/26 18:59	DC	Virat Kohli	Virat Kohli	85	Yash Dayal		3
51	RCB	GT	4/24/26 18:59	RCB	Axar Patel	Tristan Stubbs	107	Kuldeep Yadav		3
52	KKR	MI	5/20/26 18:59	KKR	Shreyas Iyer	Prabhsimran Singh	74	Varun Chakaravarthy		4
53	CSK	LSG	05-10-2026 15:00	CSK	Shivam Dube	Ruturaj Gaikwad	63	Matheesha Pathirana		3
54	RR	CSK	3/30/26 18:59	RR	Sai Sudharsan	Shubman Gill	81	Kagiso Rabada		4
55	SRH	PBKS	05-06-2026 18:59	SRH	Madhav Tiwari	Abishek Porel	80	Kuldeep Yadav		3
56	SRH	RR	4/13/26 18:59	SRH	Kagiso Rabada	Shubman Gill	67	Kagiso Rabada		4
57	MI	CSK	4/23/26 18:59	CSK	Virat Kohli	Virat Kohli	72	Yash Dayal		3
58	DC	GT	04-08-2026 18:59	GT	Tilak Varma	Tilak Varma	101	Jasprit Bumrah		3
59	CSK	PBKS	04-03-2026 18:59	PBKS	Mitchell Marsh	Nicholas Pooran	96	Ravi Bishnoi		3
60	PBKS	GT	3/31/26 19:28	PBKS	Sunil Narine	Sunil Narine	65	Varun Chakaravarthy		4
61	DC	PBKS	05-11-2026 18:59	DC	Venkatesh Iyer	Rajat Patidar	93	Mohammed Siraj		3
62	RR	DC	05-01-2026 18:59	DC	Mitchell Starc	Jake Fraser-McGurk	100	Mitchell Starc		4
63	RR	MI	04-07-2026 18:59	RR	Ishan Kishan	Heinrich Klaasen	78	Pat Cummins		3
64	GT	PBKS	05-03-2026 18:59	GT	Vaibhav Sooryavanshi	Vaibhav Sooryavanshi	103	Jofra Archer		4
65	PBKS	MI	5/14/26 18:59	MI	Manish Pandey	Shreyas Iyer	82	Sunil Narine		3
66	LSG	DC	04-01-2026 18:59	DC	Mohammed Siraj	Sai Sudharsan	89	Mohammed Siraj		3
67	DC	RCB	4/27/26 18:59	RCB	Ishan Kishan	Abhishek Sharma	111	T Natarajan		3
68	RCB	PBKS	5/17/26 15:00	RCB	Shreyas Iyer	Prabhsimran Singh	70	Arshdeep Singh		3
69	MI	RR	5/24/26 15:00	RR	Jofra Archer	Sanju Samson	81	Jofra Archer		4
70	KKR	RR	4/19/26 15:00	KKR	Kuldeep Yadav	Rishabh Pant	87	Kuldeep Yadav		3
71	LSG	RCB	05-07-2026 18:59	LSG	Rajat Patidar	Rajat Patidar	93	Yash Dayal		3
72	MI	GT	4/20/26 18:59	MI	Vaibhav Sooryavanshi	Vaibhav Sooryavanshi	94	Trent Boult		3
73	LSG	RR	4/22/26 18:59	RR	Shubman Gill	Shubman Gill	104	Rashid Khan		4
74	RCB	GT	4/30/26 18:59	GT	Virat Kohli	Virat Kohli	61	Mohammed Siraj		3
